RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,15,0.58,0.52,0.7,0.91,0.78,3.54,8.2
RSI(7),20/80,SELL,19,-0.08,-0.17,-0.69,-0.74,-0.85,-1.59,0.52
RSI(7),30/70,BUY,45,0.08,-0.02,-0.26,0.24,2.08,4.12,7.13
RSI(7),30/70,SELL,47,-0.21,-0.5,-0.79,-0.97,-1.64,-4.65,-5.62
RSI(7),10/90,SELL,5,-0.02,-1.19,-1.26,-0.31,-1.99,-6.34,-1.85
RSI(14),20/80,SELL,4,0.98,-0.32,0.3,0.24,-1.49,-7.93,-10.42
RSI(14),30/70,BUY,12,0.31,0.45,0.94,0.55,1.17,4.7,7.64
RSI(14),30/70,SELL,24,-0.24,-0.45,-0.75,-0.38,-0.8,-1.81,-3.32
RSI(20),20/80,SELL,2,,,,,,,
RSI(20),30/70,BUY,1,,,,,,,
RSI(20),30/70,SELL,18,0.08,-0.48,-0.53,-0.15,-0.21,-0.98,0.75
RSI(30),30/70,SELL,7,-0.22,-0.93,-0.67,-0.17,-1.8,-10.56,-22.49
RSI(45),30/70,SELL,4,0.96,0.75,-0.13,0.1,-0.26,-2.74,
