RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,14,-0.68,0.83,1.6,1.26,1.7,4.24,8.65
RSI(7),20/80,SELL,31,-0.43,-1.26,-1.83,-3.12,-6.56,-10.17,-16.83
RSI(7),30/70,BUY,35,-0.29,-0.92,-0.28,-0.02,2.89,7.02,11.29
RSI(7),30/70,SELL,72,-0.11,-0.57,-1.1,-1.81,-4.72,-7.42,-12.79
RSI(7),10/90,BUY,1,,,,,,,
RSI(7),10/90,SELL,9,-0.18,-0.87,-0.74,-1.19,-3.67,-6.0,-7.01
RSI(14),20/80,BUY,2,,,,,,,
RSI(14),20/80,SELL,11,-0.14,-0.32,-0.6,-1.44,-4.06,-9.0,-7.61
RSI(14),30/70,BUY,12,0.5,-0.64,-0.01,-0.08,2.99,5.29,9.25
RSI(14),30/70,SELL,35,-0.12,-0.38,-0.97,-1.8,-2.88,-3.69,-7.4
RSI(14),10/90,SELL,1,,,,,,,
RSI(20),20/80,SELL,1,,,,,,,
RSI(20),30/70,BUY,6,-0.43,0.46,0.38,1.14,4.12,3.26,7.8
RSI(20),30/70,SELL,21,-0.27,-0.75,-1.63,-2.46,-4.35,-7.39,-13.46
RSI(30),20/80,SELL,1,,,,,,,
RSI(30),30/70,BUY,2,,,,,,,
RSI(30),30/70,SELL,16,-0.18,-0.13,-0.79,-2.08,-5.92,-7.73,-18.0
RSI(45),30/70,BUY,1,,,,,,,
RSI(45),30/70,SELL,7,0.7,0.19,-0.08,-0.29,-0.23,-6.51,-22.64
