RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,21,0.17,0.25,0.73,0.56,-0.64,-3.37,0.92
RSI(7),20/80,SELL,28,-0.79,-1.19,-1.22,-0.54,2.87,-1.36,1.67
RSI(7),30/70,BUY,47,-0.31,-0.04,-0.22,0.68,2.26,6.22,7.88
RSI(7),30/70,SELL,65,-0.16,-0.39,-0.56,-1.39,-2.35,-4.69,-6.37
RSI(7),10/90,BUY,3,1.08,3.28,0.4,6.93,-0.31,-3.6,-2.42
RSI(7),10/90,SELL,7,-0.94,-1.57,-1.8,0.38,1.03,-3.34,-3.42
RSI(14),20/80,BUY,2,,,,,,,
RSI(14),20/80,SELL,9,-0.76,-1.51,-1.85,-0.29,-0.1,-5.28,-7.57
RSI(14),30/70,BUY,17,-0.05,0.17,0.7,2.15,-1.07,-2.41,1.55
RSI(14),30/70,SELL,27,-0.1,-0.34,-1.08,-1.55,-0.4,-2.46,-3.22
RSI(14),10/90,SELL,1,,,,,,,
RSI(20),20/80,SELL,3,0.11,-0.1,1.12,3.85,2.82,-1.65,
RSI(20),30/70,BUY,5,0.41,1.56,1.54,3.49,-4.66,-10.51,-15.89
RSI(20),30/70,SELL,21,-0.44,-1.12,-1.96,-2.24,-0.05,-5.58,-7.1
RSI(30),30/70,BUY,1,,,,,,,
RSI(30),30/70,SELL,7,-1.29,-1.8,-2.7,-0.5,0.1,-8.39,-9.16
RSI(45),30/70,SELL,4,-0.53,-1.9,-0.95,3.32,1.94,-2.55,-0.41
