RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,16,-0.53,0.62,0.55,0.16,0.15,0.66,3.55
RSI(7),20/80,SELL,28,0.27,0.31,0.05,0.99,-0.44,-1.44,-2.71
RSI(7),30/70,BUY,51,0.01,0.18,1.03,1.55,3.27,4.58,7.32
RSI(7),30/70,SELL,52,-0.3,-0.66,-0.89,-1.13,-2.41,-5.39,-5.75
RSI(7),10/90,BUY,1,,,,,,,
RSI(7),10/90,SELL,2,,,,,,,
RSI(14),20/80,SELL,1,,,,,,,
RSI(14),30/70,BUY,14,0.32,1.83,1.38,2.43,5.09,4.22,6.93
RSI(14),30/70,SELL,27,0.16,-0.0,-0.1,0.04,-1.17,-2.97,-3.72
RSI(20),20/80,SELL,1,,,,,,,
RSI(20),30/70,BUY,2,,,,,,,
RSI(20),30/70,SELL,10,0.32,-0.34,-0.47,-0.29,1.99,0.77,-1.84
RSI(30),30/70,SELL,2,,,,,,,
RSI(45),30/70,SELL,2,,,,,,,
