RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,5,1.11,4.75,8.11,13.78,22.78,61.73,69.78
RSI(7),20/80,SELL,39,-1.46,-1.87,-3.12,-4.5,-10.25,-23.62,-37.9
RSI(7),30/70,BUY,35,0.77,1.28,1.13,2.5,14.25,31.88,45.34
RSI(7),30/70,SELL,71,-0.71,-2.05,-2.12,-4.5,-13.12,-24.12,-39.66
RSI(7),10/90,SELL,11,-2.61,-0.95,-1.67,-4.7,-13.42,-22.97,-44.94
RSI(14),20/80,SELL,15,-1.79,-2.08,-2.42,-6.38,-10.89,-18.49,-37.22
RSI(14),30/70,BUY,4,2.93,5.05,6.63,15.89,24.94,75.48,86.92
RSI(14),30/70,SELL,45,-0.84,-1.72,-1.65,-3.14,-11.14,-21.24,-39.72
RSI(14),10/90,SELL,3,1.77,3.59,7.38,8.47,-1.14,-18.83,-25.71
RSI(20),20/80,SELL,7,-1.01,-4.19,-3.26,-7.89,-12.16,-24.93,-54.64
RSI(20),30/70,SELL,38,-0.37,-1.82,-1.86,-2.21,-10.92,-18.97,-36.1
RSI(30),20/80,SELL,3,-1.83,-1.62,0.62,3.01,-1.8,-29.47,-50.53
RSI(30),30/70,SELL,24,-0.87,-2.52,-2.28,-1.65,-10.02,-21.18,-40.19
RSI(45),20/80,SELL,1,,,,,,,
RSI(45),30/70,SELL,13,-1.94,-0.97,-0.61,-1.83,-9.5,-21.05,-43.41
