RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,16,0.35,0.55,0.41,0.61,0.42,1.16,0.68
RSI(7),20/80,SELL,13,-0.49,-0.52,-0.44,-1.64,-0.3,-3.95,-5.02
RSI(7),30/70,BUY,52,0.06,0.13,0.35,0.82,2.72,3.5,4.3
RSI(7),30/70,SELL,60,0.05,0.26,0.36,0.49,0.59,-1.16,-1.72
RSI(7),10/90,BUY,1,,,,,,,
RSI(7),10/90,SELL,1,,,,,,,
RSI(14),20/80,BUY,1,,,,,,,
RSI(14),20/80,SELL,1,,,,,,,
RSI(14),30/70,BUY,7,0.53,1.48,0.68,1.26,0.37,0.63,1.74
RSI(14),30/70,SELL,20,0.42,0.33,-0.03,-0.3,1.23,-2.78,-3.78
RSI(20),30/70,BUY,1,,,,,,,
RSI(20),30/70,SELL,6,0.33,0.28,0.71,0.41,1.93,-1.71,-4.13
RSI(30),30/70,SELL,1,,,,,,,
