RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,15,60.0,53.3,53.3,57.1,41.7,66.7,83.3
RSI(7),20/80,SELL,19,42.1,42.1,36.8,47.4,36.8,50.0,56.2
RSI(7),30/70,BUY,45,55.6,51.1,44.4,57.8,54.8,63.4,75.6
RSI(7),30/70,SELL,47,31.9,36.2,40.4,42.6,34.0,37.0,23.8
RSI(7),10/90,SELL,5,40.0,20.0,40.0,40.0,20.0,20.0,75.0
RSI(14),20/80,SELL,4,50.0,25.0,50.0,50.0,25.0,25.0,33.3
RSI(14),30/70,BUY,12,66.7,58.3,66.7,54.5,54.5,54.5,90.9
RSI(14),30/70,SELL,24,45.8,33.3,41.7,45.8,41.7,52.2,47.4
RSI(20),20/80,SELL,2,,,,,,,
RSI(20),30/70,BUY,1,,,,,,,
RSI(20),30/70,SELL,18,61.1,33.3,44.4,44.4,50.0,55.6,71.4
RSI(30),30/70,SELL,7,57.1,14.3,57.1,28.6,28.6,28.6,0.0
RSI(45),30/70,SELL,4,75.0,75.0,25.0,50.0,50.0,25.0,
