RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,14,35.7,57.1,64.3,57.1,50.0,57.1,71.4
RSI(7),20/80,SELL,31,32.3,29.0,32.3,29.0,25.8,16.1,22.6
RSI(7),30/70,BUY,35,40.0,31.4,42.9,60.0,67.6,74.2,87.1
RSI(7),30/70,SELL,72,47.2,40.3,43.1,40.3,26.8,22.9,24.6
RSI(7),10/90,BUY,1,,,,,,,
RSI(7),10/90,SELL,9,66.7,33.3,33.3,55.6,44.4,22.2,25.0
RSI(14),20/80,BUY,2,,,,,,,
RSI(14),20/80,SELL,11,54.5,36.4,54.5,63.6,45.5,9.1,27.3
RSI(14),30/70,BUY,12,41.7,50.0,41.7,50.0,58.3,58.3,83.3
RSI(14),30/70,SELL,35,48.6,45.7,45.7,40.0,42.9,42.9,38.2
RSI(14),10/90,SELL,1,,,,,,,
RSI(20),20/80,SELL,1,,,,,,,
RSI(20),30/70,BUY,6,50.0,83.3,50.0,66.7,66.7,50.0,66.7
RSI(20),30/70,SELL,21,42.9,42.9,38.1,42.9,28.6,23.8,20.0
RSI(30),20/80,SELL,1,,,,,,,
RSI(30),30/70,BUY,2,,,,,,,
RSI(30),30/70,SELL,16,43.8,50.0,50.0,37.5,18.8,12.5,13.3
RSI(45),30/70,BUY,1,,,,,,,
RSI(45),30/70,SELL,7,71.4,42.9,42.9,57.1,42.9,28.6,0.0
