RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,6,50.0,66.7,50.0,50.0,66.7,66.7,83.3
RSI(7),20/80,SELL,25,40.0,40.0,32.0,24.0,13.6,23.8,19.0
RSI(7),30/70,BUY,51,62.7,54.9,66.7,60.8,72.5,75.0,68.1
RSI(7),30/70,SELL,65,35.4,41.5,34.4,29.7,41.9,27.9,27.9
RSI(7),10/90,SELL,1,,,,,,,
RSI(14),20/80,SELL,2,,,,,,,
RSI(14),30/70,BUY,10,60.0,80.0,80.0,80.0,80.0,100.0,87.5
RSI(14),30/70,SELL,33,24.2,36.4,28.1,21.9,32.1,25.9,18.5
RSI(20),30/70,BUY,1,,,,,,,
RSI(20),30/70,SELL,20,45.0,68.4,57.9,15.8,12.5,18.8,12.5
RSI(30),30/70,BUY,1,,,,,,,
RSI(30),30/70,SELL,2,,,,,,,
