RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,20,50.0,55.0,50.0,42.1,38.9,52.9,58.8
RSI(7),20/80,SELL,28,28.6,28.6,35.7,35.7,46.4,40.7,46.2
RSI(7),30/70,BUY,47,44.7,44.7,55.3,56.5,56.8,63.6,81.0
RSI(7),30/70,SELL,65,43.8,50.0,45.3,39.1,31.2,28.6,31.7
RSI(7),10/90,BUY,3,100.0,100.0,33.3,100.0,66.7,33.3,33.3
RSI(7),10/90,SELL,7,0.0,28.6,28.6,57.1,42.9,28.6,50.0
RSI(14),20/80,BUY,2,,,,,,,
RSI(14),20/80,SELL,9,44.4,33.3,33.3,44.4,44.4,22.2,25.0
RSI(14),30/70,BUY,17,47.1,52.9,52.9,62.5,37.5,56.2,62.5
RSI(14),30/70,SELL,28,35.7,42.9,42.9,39.3,39.3,44.4,40.7
RSI(14),10/90,SELL,1,,,,,,,
RSI(20),20/80,SELL,3,33.3,33.3,66.7,100.0,33.3,66.7,
RSI(20),30/70,BUY,5,60.0,60.0,60.0,60.0,20.0,20.0,20.0
RSI(20),30/70,SELL,21,38.1,33.3,19.0,19.0,28.6,23.8,30.0
RSI(30),30/70,BUY,1,,,,,,,
RSI(30),30/70,SELL,7,28.6,28.6,28.6,42.9,28.6,14.3,16.7
RSI(45),30/70,SELL,4,25.0,25.0,50.0,75.0,75.0,25.0,33.3
