RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,5,40.0,100.0,100.0,100.0,100.0,100.0,100.0
RSI(7),20/80,SELL,39,30.8,46.2,46.2,25.6,25.6,12.8,10.5
RSI(7),30/70,BUY,35,51.4,57.1,54.3,74.3,73.5,75.8,83.3
RSI(7),30/70,SELL,71,35.7,38.6,40.0,41.4,30.0,18.8,16.2
RSI(7),10/90,SELL,11,36.4,36.4,45.5,27.3,9.1,18.2,9.1
RSI(14),20/80,SELL,15,33.3,33.3,46.7,26.7,13.3,20.0,20.0
RSI(14),30/70,BUY,4,75.0,100.0,100.0,100.0,100.0,100.0,100.0
RSI(14),30/70,SELL,45,37.8,35.6,40.0,35.6,26.7,20.0,13.3
RSI(14),10/90,SELL,3,100.0,66.7,100.0,66.7,33.3,0.0,33.3
RSI(20),20/80,SELL,7,42.9,14.3,28.6,14.3,14.3,0.0,14.3
RSI(20),30/70,SELL,38,44.7,39.5,42.1,39.5,26.3,18.4,13.2
RSI(30),20/80,SELL,3,33.3,33.3,33.3,33.3,33.3,0.0,0.0
RSI(30),30/70,SELL,24,41.7,33.3,41.7,50.0,25.0,20.8,16.7
RSI(45),20/80,SELL,1,,,,,,,
RSI(45),30/70,SELL,13,23.1,30.8,61.5,46.2,23.1,15.4,23.1
