RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,16,68.8,56.2,56.2,56.2,56.2,56.2,43.8
RSI(7),20/80,SELL,13,30.8,38.5,30.8,23.1,61.5,38.5,16.7
RSI(7),30/70,BUY,52,50.0,55.8,53.8,67.3,75.0,66.7,66.7
RSI(7),30/70,SELL,60,50.0,55.0,55.0,60.0,55.0,35.0,31.6
RSI(7),10/90,BUY,1,,,,,,,
RSI(7),10/90,SELL,1,,,,,,,
RSI(14),20/80,BUY,1,,,,,,,
RSI(14),20/80,SELL,1,,,,,,,
RSI(14),30/70,BUY,7,57.1,71.4,71.4,71.4,42.9,42.9,57.1
RSI(14),30/70,SELL,20,70.0,55.0,45.0,45.0,75.0,20.0,16.7
RSI(20),30/70,BUY,1,,,,,,,
RSI(20),30/70,SELL,6,50.0,83.3,66.7,33.3,66.7,50.0,20.0
RSI(30),30/70,SELL,1,,,,,,,
